SW Version,2013.2.0
GT Type,7 Series GTX
Date and Time Started, May. 25 2015 11:26:53 AM
Date and Time Ended, May. 25 2015 11:27:00 AM
Scan Name,Ch0_viv.csv
Settings,
Open Area,N/A
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,4
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,4
Vertical Range,100%
Scan Start
2d statistical,-32,-28,-24,-20,-16,-12,-8,-4,0,4,8,12,16,20,24,28,32
28,1.32E-01,3.60E-02,5.33E-04,3.58E-08,3.22E-07,1.44E-05,3.69E-05,4.01E-05,9.49E-05,3.97E-04,1.34E-03,1.57E-03,1.60E-03,1.34E-03,1.90E-03,2.16E-02,7.09E-02
24,1.39E-01,4.56E-02,9.77E-04,1.07E-07,1.19E-08,1.19E-08,1.19E-08,2.38E-08,2.38E-08,2.27E-07,3.34E-05,8.91E-05,1.72E-04,1.22E-04,2.61E-04,1.23E-02,6.42E-02
20,1.46E-01,5.68E-02,1.51E-03,5.25E-07,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,5.96E-08,2.13E-06,3.40E-06,3.77E-06,6.89E-05,7.23E-03,6.15E-02
16,1.51E-01,6.57E-02,2.28E-03,6.20E-07,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,7.75E-07,2.71E-06,2.92E-06,3.14E-05,4.00E-03,6.08E-02
12,1.56E-01,7.36E-02,3.45E-03,1.67E-06,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.91E-07,2.22E-06,2.86E-06,1.55E-05,2.36E-03,5.96E-02
8,1.63E-01,8.27E-02,5.03E-03,3.81E-06,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.34E-06,2.85E-06,8.24E-06,1.30E-03,5.75E-02
4,1.68E-01,9.21E-02,7.55E-03,8.25E-06,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,5.01E-07,2.53E-06,4.77E-06,7.69E-04,5.57E-02
0,1.74E-01,9.90E-02,1.08E-02,1.07E-05,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.31E-07,2.25E-06,3.73E-06,5.00E-04,5.23E-02
-4,1.91E-01,1.19E-01,2.90E-02,2.29E-04,2.38E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,2.50E-07,2.36E-06,6.41E-04,4.32E-02
-8,1.96E-01,1.24E-01,3.68E-02,4.86E-04,3.58E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-07,2.01E-06,1.01E-03,4.14E-02
-12,2.01E-01,1.27E-01,4.85E-02,7.73E-04,1.19E-07,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.07E-07,1.59E-06,1.75E-03,4.17E-02
-16,2.03E-01,1.32E-01,6.00E-02,1.25E-03,4.89E-07,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,2.38E-08,1.08E-06,2.59E-03,4.35E-02
-20,2.08E-01,1.35E-01,6.71E-02,2.03E-03,9.54E-07,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,7.87E-07,3.94E-03,4.66E-02
-24,2.11E-01,1.41E-01,7.82E-02,3.07E-03,3.81E-06,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-06,5.85E-03,5.02E-02
-28,2.14E-01,1.47E-01,8.85E-02,4.75E-03,1.18E-05,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,3.34E-06,8.32E-03,5.57E-02
-32,2.15E-01,1.51E-01,9.29E-02,6.77E-03,2.25E-05,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,9.16E-06,1.03E-02,5.99E-02
-36,2.18E-01,1.57E-01,1.01E-01,9.68E-03,4.39E-05,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.72E-05,1.32E-02,6.61E-02
-40,2.19E-01,1.66E-01,1.08E-01,1.32E-02,1.02E-04,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,5.61E-05,1.64E-02,7.39E-02
-44,2.20E-01,1.72E-01,1.14E-01,1.79E-02,2.59E-04,7.15E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.15E-04,1.98E-02,8.18E-02
-48,2.20E-01,1.81E-01,1.19E-01,2.36E-02,5.56E-04,7.15E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,2.68E-04,2.31E-02,9.00E-02
-52,2.21E-01,1.88E-01,1.23E-01,3.31E-02,1.27E-03,2.86E-07,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.07E-07,6.86E-04,2.71E-02,9.82E-02
-56,2.21E-01,1.96E-01,1.28E-01,4.24E-02,2.40E-03,2.38E-06,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.91E-07,1.55E-03,3.14E-02,1.05E-01
-60,2.21E-01,2.02E-01,1.33E-01,5.40E-02,4.76E-03,6.87E-06,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.24E-06,3.30E-03,3.70E-02,1.10E-01
-64,2.21E-01,2.06E-01,1.38E-01,6.37E-02,6.78E-03,3.43E-05,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,2.38E-08,2.19E-06,5.53E-03,4.29E-02,1.13E-01
-68,2.21E-01,2.12E-01,1.44E-01,7.82E-02,1.06E-02,1.12E-04,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,2.38E-08,1.03E-05,9.19E-03,5.30E-02,1.16E-01
-72,2.21E-01,2.14E-01,1.51E-01,8.93E-02,1.52E-02,3.77E-04,1.79E-07,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,7.15E-08,2.94E-05,1.37E-02,6.40E-02,1.18E-01
-76,2.21E-01,2.18E-01,1.58E-01,1.00E-01,2.01E-02,1.11E-03,1.29E-06,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,4.77E-07,7.67E-05,1.92E-02,7.59E-02,1.19E-01
-80,2.21E-01,2.20E-01,1.70E-01,1.11E-01,2.81E-02,3.54E-03,1.87E-05,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.19E-08,2.96E-06,2.90E-04,2.50E-02,8.97E-02,1.20E-01
-84,2.21E-01,2.20E-01,1.82E-01,1.18E-01,3.69E-02,7.77E-03,1.38E-04,1.19E-08,1.19E-08,1.19E-08,1.19E-08,1.07E-07,1.64E-05,8.13E-04,3.25E-02,1.02E-01,1.26E-01
-88,2.21E-01,2.21E-01,1.93E-01,1.24E-01,4.71E-02,1.41E-02,8.06E-04,1.53E-06,1.19E-08,1.19E-08,1.19E-08,9.54E-07,2.52E-05,2.20E-03,4.09E-02,1.11E-01,1.46E-01
-92,2.21E-01,2.21E-01,2.04E-01,1.29E-01,6.36E-02,2.08E-02,4.40E-03,4.92E-05,1.91E-07,1.19E-08,1.07E-07,3.81E-06,6.33E-05,6.71E-03,5.38E-02,1.33E-01,1.66E-01
-96,2.21E-01,2.21E-01,2.07E-01,1.34E-01,7.64E-02,2.35E-02,1.02E-02,5.57E-04,3.43E-06,1.19E-08,1.14E-06,1.75E-05,8.89E-05,1.18E-02,6.96E-02,1.40E-01,1.70E-01
-100,2.21E-01,2.21E-01,2.14E-01,1.40E-01,9.47E-02,2.71E-02,1.96E-02,6.54E-03,9.03E-04,2.14E-05,4.54E-05,6.10E-05,4.34E-04,2.56E-02,1.05E-01,1.47E-01,1.71E-01
-104,2.21E-01,2.21E-01,2.18E-01,1.52E-01,1.10E-01,3.46E-02,2.29E-02,2.05E-02,1.80E-02,1.13E-02,8.33E-03,5.55E-03,1.50E-02,5.62E-02,1.29E-01,1.67E-01,1.72E-01
-108,2.21E-01,2.21E-01,2.19E-01,1.64E-01,1.20E-01,5.21E-02,2.36E-02,2.30E-02,2.31E-02,2.31E-02,2.31E-02,2.30E-02,3.03E-02,7.64E-02,1.39E-01,1.71E-01,1.85E-01
-112,2.21E-01,2.21E-01,2.20E-01,1.80E-01,1.26E-01,7.64E-02,2.67E-02,2.31E-02,2.30E-02,2.31E-02,2.30E-02,2.33E-02,4.50E-02,9.75E-02,1.51E-01,1.74E-01,1.96E-01
-116,2.21E-01,2.21E-01,2.21E-01,1.94E-01,1.32E-01,1.07E-01,3.99E-02,2.37E-02,2.31E-02,2.31E-02,2.31E-02,2.86E-02,6.97E-02,1.21E-01,1.71E-01,1.95E-01,1.96E-01
-120,2.21E-01,2.21E-01,2.21E-01,2.06E-01,1.40E-01,1.23E-01,6.71E-02,3.17E-02,2.41E-02,2.31E-02,2.46E-02,5.64E-02,9.57E-02,1.52E-01,1.96E-01,1.96E-01,1.96E-01
-124,2.21E-01,2.21E-01,2.21E-01,2.15E-01,1.60E-01,1.29E-01,1.05E-01,6.48E-02,6.20E-02,5.17E-02,8.09E-02,1.11E-01,1.38E-01,1.95E-01,1.96E-01,1.96E-01,1.97E-01
Scan End
